licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Sneem - D0285,Complaint,Discharge of sewage entering sneem river,https://leap.epa.ie/licence-profile/D0285/compliance/complaint/7b61edb0-b41a-f011-a373-0050568a2d1a,2025-04-21T00:00:00+00:00,Open,2025-04-21T00:00:00,D0285,68ccc968-005d-466b-b3ae-407b650a583e,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=7b61edb0-b41a-f011-a373-0050568a2d1a
ALPS Electric (Ireland) Limited - P0835,Complaint,"P0835-01, 21/04/2025, Noise",https://leap.epa.ie/licence-profile/P0835/compliance/complaint/7e00f618-da1e-f011-a373-0050568a2d1a,2025-04-21T00:00:00+00:00,Open,2025-04-21T00:00:00,P0835,a185fd8b-3aa8-4500-9623-8d165c67c54d,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=7e00f618-da1e-f011-a373-0050568a2d1a
TC Farms Limited - P0985,Annual Environmental Report,Supporting Reports to AER 2024,https://leap.epa.ie/licence-profile/P0985/compliance/return/592d313b-c11e-f011-a373-0050568a2d1a,2025-04-21T00:00:00+00:00,Open,2025-04-21T00:00:00,P0985,3446ac20-ffe1-e511-987f-0050568a69e2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=592d313b-c11e-f011-a373-0050568a2d1a
Electricity Supply Board (Moneypoint) - P0605,Incident,Abatement equipment off-line,https://leap.epa.ie/licence-profile/P0605/compliance/incident/696aea22-dc1d-f011-a373-0050568a2d1a,2025-04-20T00:00:00+00:00,Open,2025-04-20T00:00:00,P0605,d7347f12-ed09-4cff-b9e0-6b40203819d8,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=696aea22-dc1d-f011-a373-0050568a2d1a
Electricity Supply Board (Moneypoint) - P0605,Incident,Breach of ELV,https://leap.epa.ie/licence-profile/P0605/compliance/incident/fe396b6f-da1d-f011-a373-0050568a2d1a,2025-04-20T00:00:00+00:00,Open,2025-04-20T00:00:00,P0605,d7347f12-ed09-4cff-b9e0-6b40203819d8,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=fe396b6f-da1d-f011-a373-0050568a2d1a
MSD International GmbH - P0011,Monitoring Returns,P0011-06 Solvent Management Plan Report 2024,https://leap.epa.ie/licence-profile/P0011/compliance/return/58ce65e9-bc1d-f011-a373-0050568a2d1a,2025-04-20T00:00:00+00:00,Open,2025-04-20T00:00:00,P0011,78c80169-1164-478f-8852-2e93e44eb406,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=58ce65e9-bc1d-f011-a373-0050568a2d1a
Dawn Meats Ireland Unlimited Company - P0811,Non Compliance,,https://leap.epa.ie/licence-profile/P0811/compliance/non-compliance/5705ceee-821b-f011-a373-0050568a2d1a,2025-04-20T00:00:00+00:00,Issued,2025-04-17T00:00:00,P0811,49e1c863-0ced-458c-ba11-f458f97a2e5b,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=5705ceee-821b-f011-a373-0050568a2d1a
Padraig Thornton Waste Disposal Ltd - W0206,Incident,Fire,https://leap.epa.ie/licence-profile/W0206/compliance/incident/4cfed8ec-281c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Open,2025-04-18T00:00:00,W0206,a3942836-5326-403b-98d0-ef21fd454fc5,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=4cfed8ec-281c-f011-a373-0050568a2d1a
Amazon Data Services Ireland Limited - P1170,Incident,Trigger Level Reached,https://leap.epa.ie/licence-profile/P1170/compliance/incident/7bf7e4dd-671c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Open,2025-04-18T00:00:00,P1170,f43ba22b-ecc9-4379-9c1a-16bfec4a73bf,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=7bf7e4dd-671c-f011-a373-0050568a2d1a
Regeneron Ireland Designated Activity Company - P0991,Incident,Uncontrolled Release,https://leap.epa.ie/licence-profile/P0991/compliance/incident/89b82b6a-641c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Open,2025-04-18T00:00:00,P0991,29177451-53b7-e411-b3b4-0050568a69e2,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=89b82b6a-641c-f011-a373-0050568a2d1a
Mr James Briody - P0459,Annual Environmental Report,AER 2024,https://leap.epa.ie/licence-profile/P0459/compliance/return/057b85ec-491c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Open,2025-04-18T00:00:00,P0459,fdcceec1-5d0c-4699-a4ab-8bc52e3d31a1,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=057b85ec-491c-f011-a373-0050568a2d1a
Dawn Meats Ireland t/a Dawn Grannagh - P0179,Site Updates/Notifications,Stock Plant - End of Trials Report,https://leap.epa.ie/licence-profile/P0179/compliance/return/55f671e8-261c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Open,2025-04-18T00:00:00,P0179,091ee754-9180-4ba4-b63b-2b6e076cf290,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=55f671e8-261c-f011-a373-0050568a2d1a
"Brewery, Chemical and Dairy Engineering Limited - P0283",Annual Environmental Report,"BCD, rev. 2",https://leap.epa.ie/licence-profile/P0283/compliance/return/60bba290-5b1c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Open,2025-04-18T00:00:00,P0283,6fcd892d-ffe5-4837-8956-8c160e0de58b,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=60bba290-5b1c-f011-a373-0050568a2d1a
Hyde Park Pig Farm Limited - P0874,Annual Environmental Report,AER 2024,https://leap.epa.ie/licence-profile/P0874/compliance/return/7e2608ca-3e1c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Open,2025-04-18T00:00:00,P0874,c40cff86-e7ec-4dd6-b88a-4ab7e2753bd0,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=7e2608ca-3e1c-f011-a373-0050568a2d1a
Aurivo Consumer Foods Limited - P1035,Site Updates/Notifications,Retaining wall,https://leap.epa.ie/licence-profile/P1035/compliance/return/96a02d8d-361c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Closed,2025-04-18T00:00:00,P1035,bd27580f-5fd8-e811-a2db-0050568a66b2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=96a02d8d-361c-f011-a373-0050568a2d1a
Dublin Aerospace Limited - P0480,Requests for Approval and Site Reports,Condition 6.6 Request – Licence Monitoring Well Alteration,https://leap.epa.ie/licence-profile/P0480/compliance/return/c448069a-621c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Open,2025-04-18T00:00:00,P0480,9086c85a-3aeb-4dc4-95e4-55747e1db622,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=c448069a-621c-f011-a373-0050568a2d1a
Aurivo Consumer Foods Limited - P1035,Monitoring Returns,NC031886: ELV Exceedance,https://leap.epa.ie/licence-profile/P1035/compliance/return/e7c3296d-491c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Closed,2025-04-18T00:00:00,P1035,bd27580f-5fd8-e811-a2db-0050568a66b2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=e7c3296d-491c-f011-a373-0050568a2d1a
Aurivo Consumer Foods Limited - P1035,Non Compliance,,https://leap.epa.ie/licence-profile/P1035/compliance/non-compliance/c2729d68-4a1c-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Issued,2025-04-18T00:00:00,P1035,bd27580f-5fd8-e811-a2db-0050568a66b2,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=c2729d68-4a1c-f011-a373-0050568a2d1a
Aurivo Consumer Foods Limited - P1035,Site Visit,,https://leap.epa.ie/licence-profile/P1035/compliance/sitevisit/43e81890-d008-f011-a373-0050568a2d1a,2025-04-18T00:00:00+00:00,Closed,2025-03-25T00:00:00,P1035,bd27580f-5fd8-e811-a2db-0050568a66b2,https://data.epa.ie/leap/api/v1/SiteVisit/byid?sv_id=43e81890-d008-f011-a373-0050568a2d1a
Western Brand Group Unlimited Company - P0831,Requests for Approval and Site Reports,Change request query for SP1,https://leap.epa.ie/licence-profile/P0831/compliance/return/75b87d94-bbf9-ef11-a373-0050568a2d1a,2025-04-18T00:00:00,Closed,2025-03-05T00:00:00,P0831,9eb4b5a2-706c-494b-abde-0e5f977b732f,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=75b87d94-bbf9-ef11-a373-0050568a2d1a
