licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Shannonside Building Supplies Limited - P0319,Incident,Uncontrolled Release,2025-04-23T00:00:00+00:00,Open,2025-04-23T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=041af1c0-5820-f011-a373-0050568a2d1a,P0319,fa8aa891-8ce6-4c6d-9629-2ec87e0731a5
Pfizer Ireland Pharmaceuticals Unlimited Company (Newbridge) - P0153,Incident,Trigger Level Reached,2025-04-23T00:00:00+00:00,Closed,2025-04-22T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=e986341e-5d1f-f011-a373-0050568a2d1a,P0153,a3a54cba-adf7-4285-b057-7e331f952f80
Key Waste Management Limited - W0045,Site Updates/Notifications,Requested clarifications,2025-04-23T00:00:00+00:00,Closed,2025-04-22T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=077fa2a4-8a1f-f011-a373-0050568a2d1a,W0045,f5652da1-291c-4422-92d9-50a15b21fe02
Ballynacarrick Landfill Site - W0024,Monitoring Returns,GW Rtn - Q1 2025,2025-04-23T00:00:00+00:00,Closed,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=195fad90-db19-f011-a373-0050568a2d1a,W0024,708e0e98-3eb9-4ef5-8da8-81b1f6b4c18b
Bord na Móna Plc (Kilberry) - W0198,Annual Environmental Report,AER 2024 Revised,2025-04-23T00:00:00+00:00,Open,2025-04-23T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1caf070c-4520-f011-a373-0050568a2d1a,W0198,fcfbe6a2-10b4-4e5c-9a43-b0e9a7ab7331
Mr Padraig Kiernan (Aughaboy Pig Farm) - P0821,Annual Environmental Report,AER 2024,2025-04-23T00:00:00+00:00,Open,2025-04-23T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2a984c29-6420-f011-a373-0050568a2d1a,P0821,cf42f0a5-c42c-4216-8a48-5efd83c2199e
Ballynacarrick Landfill Site - W0024,Requests for Approval and Site Reports,Ballynacarrick Landfill Hydrogeological Risk Assessment 2024,2025-04-23T00:00:00+00:00,Open,2025-04-23T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4de730c9-6520-f011-a373-0050568a2d1a,W0024,708e0e98-3eb9-4ef5-8da8-81b1f6b4c18b
Rosderra Farms Unlimited Company - P0681,Annual Environmental Report,AER 2024,2025-04-23T00:00:00+00:00,Open,2025-04-23T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=639714eb-5220-f011-a373-0050568a2d1a,P0681,4af3500e-a6ac-4f95-bf95-21debad68ae3
Ballynacarrick Landfill Site - W0024,Monitoring Returns,SW Rtn - Q1 2025,2025-04-23T00:00:00+00:00,Closed,2025-04-15T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6697fe56-db19-f011-a373-0050568a2d1a,W0024,708e0e98-3eb9-4ef5-8da8-81b1f6b4c18b
Roche Ireland Limited - P0012,Requests for Approval and Site Reports,In-Situ Thermal Treatment,2025-04-23T00:00:00+00:00,Open,2025-04-23T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=70a4362a-5c20-f011-a373-0050568a2d1a,P0012,a45f794a-3739-4e72-b6ea-1dea48efc0fe
