licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Blackrock - D0188,Complaint,COM020862 - Web Submission,2025-05-10T00:00:00+00:00,Open,2025-05-10T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=348635e5-d22d-f011-a373-0050568a2d1a,D0188,02c378a0-0b5b-42a5-826e-5dc6bb2e7826
Latgallan Poultry Limited - P1043,Annual Environmental Report,AER 2024,2025-05-10T00:00:00+00:00,Open,2025-05-10T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=6dce57cd-322d-f011-a373-0050568a2d1a,P1043,c0d007c1-495a-e711-91cb-0050568a69e2
Frank Evans  - P1095,Annual Environmental Report,AER 2024,2025-05-10T00:00:00+00:00,Open,2025-05-10T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=965e565c-342d-f011-a373-0050568a2d1a,P1095,addd9d89-8539-46fa-bcda-c29cc3f3bf99
North Cobh - D0140,Complaint,Odour Cobh,2025-05-09T00:00:00+00:00,Open,2025-05-09T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=05743b2b-182f-f011-a373-0050568a2d1a,D0140,9306d8c4-5a50-43f0-addf-5405a9392295
Ringsend - D0034,Incident,,2025-05-09T00:00:00+00:00,Open,2025-05-09T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=13f54937-e32c-f011-a373-0050568a2d1a,D0034,188b6e9c-77a4-4dd9-895c-17080f6af298
Novo Nordisk Production Ireland Limited - P0100,Incident,,2025-05-09T00:00:00+00:00,Closed,2025-05-07T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=1f570590-532b-f011-a373-0050568a2d1a,P0100,a86b13ab-bfb5-4d55-8425-4e3744c34cf6
Thermo Fisher Scientific Cork Limited - P0004,Incident,,2025-05-09T00:00:00+00:00,Open,2025-05-09T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=383987da-e72c-f011-a373-0050568a2d1a,P0004,1a507022-d459-4a98-afb9-cc0587998ac1
Baile Na nGall - D0358,Incident,,2025-05-09T00:00:00+00:00,Closed,2025-04-23T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=6641fb84-3120-f011-a373-0050568a2d1a,D0358,794485f0-6190-4858-aacd-1001f377f294
Ardmore - D0162,Incident,,2025-05-09T00:00:00+00:00,Open,2025-05-09T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=820d0507-e22c-f011-a373-0050568a2d1a,D0162,67917695-9b7c-4939-a8d0-c714933c180b
Dromahair - D0279,Incident,,2025-05-09T00:00:00+00:00,Open,2025-05-09T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=8d1664ff-e92c-f011-a373-0050568a2d1a,D0279,e9824423-69ec-494c-947d-9f99897ad39b
