licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Ted O'Donoghue and Sons Limited - W0214,Requests for Approval and Site Reports,Response to SV 32427 report 25 04 2025 table only,2025-05-16T00:00:00+00:00,Open,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=becaae45-8432-f011-a373-0050568a2d1a,W0214,997c85fb-3752-42b9-99aa-00f5d0c4fad8
Hermitage Farms Limited (Clifden) - P0961,Site Updates/Notifications,BATc CID Table,2025-05-16T00:00:00+00:00,Closed,2025-04-30T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=d13bea10-b225-f011-a373-0050568a2d1a,P0961,b26187a4-acfb-411d-984c-3fe9fcae24ee
Knockharley Landfill - W0146,Site Updates/Notifications,W0146 Knockharley Landfill response to SV32404,2025-05-16T00:00:00+00:00,Open,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=df6bafa0-5732-f011-a373-0050568a2d1a,W0146,8a684cb8-e7fb-4d81-b843-20ffd7f4aeeb
Curry and Environs - A0316,Site Updates/Notifications,Request for Additional Information,2025-05-16T00:00:00+00:00,Closed,2025-03-28T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=e053212c-ba0b-f011-a373-0050568a2d1a,A0316,e81f25e8-7cae-4cd1-928f-f72234907aca
Rosderra Farms (Castlebar) - P0572,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=0e61ffd3-672b-f011-a373-0050568a2d1a,P0572,6b5559e8-8467-4a16-bdb3-dc2bfa2c3ea6
Kyletalesha Landfill - W0026,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=31dab039-092c-f011-a373-0050568a2d1a,W0026,dd04a983-87d2-4f83-a300-a996b019c2f6
Killurin Landfill Site - W0016,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=40eb296e-da21-f011-a373-0050568a2d1a,W0016,8806f978-3a88-4e2e-81ab-3171e598d4bc
Starrus Eco Holdings Limited (Cappagh) - W0261,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=49651b41-6232-f011-a373-0050568a2d1a,W0261,4f70fb4a-3092-4d1f-8cad-866457b1e384
Kyletalesha Landfill - W0026,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=49929f33-072c-f011-a373-0050568a2d1a,W0026,dd04a983-87d2-4f83-a300-a996b019c2f6
Lagan Pigs Limited - P0617,Non Compliance,,2025-05-16T00:00:00+00:00,Issued,2025-05-16T00:00:00,https://data.epa.ie/leap/api/v1/NonCompliance/byid?nc_id=8a7edda7-da30-f011-a373-0050568a2d1a,P0617,8dbf9609-2b9b-485e-adec-69eda3b43d13
