Item Date,Submitter,Item,Item URL,Submitter URL,Main Page URL
2023-01-03T21:50:31.000Z,P0812-01 -- Arrow Group Limited,SV26124 - Licensee Report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7c3.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0812-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse
2023-01-03T21:50:30.000Z,P0025-05 -- Farragh Proteins,SV23268 - Licensee Report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7be.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0025-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=F*&Submit=Browse
2023-01-03T21:50:31.000Z,P0639-03 -- Gairdini,SV25951 - Licensee Report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7c1.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0639-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=G*&Submit=Browse
2023-01-03T21:50:31.000Z,P0639-03 -- Gairdini,SV26101 - Licensee Report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7c2.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0639-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=G*&Submit=Browse
2023-01-03T21:50:31.000Z,P0145-01 -- Heraeus Metal Processing Limited,SV23877 - Licensee Report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7c0.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0145-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=H*&Submit=Browse
2023-01-03T22:50:29.000Z,W0267-01 -- Hi Volt Ireland Limited,AER-template-2021 V4-Final,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7df.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0267-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=H*&Submit=Browse
2023-01-03T21:50:30.000Z,P0016-02 -- Janssen Pharmaceutical Sciences UC,SV26106 - Licensee Report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7bd.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0016-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=J*&Submit=Browse
2023-01-03T11:50:30.000Z,P0818-05 -- Johnson & Johnson Vision Care Ireland Unlimited Co,Notification to Third Party - EIAR with PA Reminder,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c6ba.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0818-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=J*&Submit=Browse
2023-01-03T11:50:30.000Z,P0818-05 -- Johnson & Johnson Vision Care Ireland Unlimited Co,Letter to Planning Body - Request for Obvs Reminder LACT011892,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c6bb.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0818-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=J*&Submit=Browse
2023-01-03T10:50:58.000Z,P0170-02 -- Kildare Chilling Company,P0170-02 Newspaper Notice,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c695.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0170-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=K*&Submit=Browse
2023-01-03T09:50:26.000Z,P1053-02 -- M.A.G. World Limited,PD Newspaper Notice 17,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c670.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1053-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=M*&Submit=Browse
2023-01-03T22:50:30.000Z,W0270-02 -- Miltown Composting Systems Limited,W0270AER2021,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7e0.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0270-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=M*&Submit=Browse
2023-01-03T21:50:31.000Z,P0896-01 -- Mr Liam O Connell,SV23995 - Licensee Report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7c4.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0896-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=M*&Submit=Browse
2023-01-03T21:50:30.000Z,"P0005-03 -- MSD International GmbH, trading as MSD Ireland (Br",SV24173 - Licensee Report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7bc.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0005-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=M*&Submit=Browse
2023-01-03T21:50:31.000Z,P1051-01 -- North Cork Co Operative Limited,SV26029 - Licensee Report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7c5.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1051-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=N*&Submit=Browse
2023-01-03T21:50:30.000Z,P0136-04 -- Pfizer Pharmaceuticals Ireland,60650421 ACM RP EN 004 1 Viatris LI 2022,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c7bf.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0136-04.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=U*&Submit=Browse
2023-01-03T09:50:26.000Z,P0638-02 -- Zoetis Belgium S.A.,Response to S99 Notice - Cover letter,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c66e.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0638-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=Z*&Submit=Browse
2023-01-03T09:50:26.000Z,P0638-02 -- Zoetis Belgium S.A.,Response to S99 Notice,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28085c66f.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0638-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=Z*&Submit=Browse
