Item Date,Submitter,Item,Item URL,Submitter URL,Main Page URL,S3 URL
2024-12-11T21:31:33.000Z,P0017-02 -- Cara Partners,Snapshot-INCI028832.pdf,https://leap.epa.ie/docs/93fe861b-6f91-47eb-8d1a-d0f06c4f10f0.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0017-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/93fe861b-6f91-47eb-8d1a-d0f06c4f10f0.pdf
2024-12-11T21:35:41.000Z,P1103-01 -- Dairygold Co-Operative Society Ltd and TINE Ireland Ltd,Bund Map 2024........................pdf,https://leap.epa.ie/docs/3efe4723-339f-4968-8b17-3a3e4b49ab97.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1103-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/3efe4723-339f-4968-8b17-3a3e4b49ab97.pdf
2024-12-11T21:35:26.000Z,P1103-01 -- Dairygold Co-Operative Society Ltd and TINE Ireland Ltd,New Waste Oil Tanks 2024 ........pdf,https://leap.epa.ie/docs/e3d3d1e6-0908-45a0-8345-ff375d0c4a49.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1103-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/e3d3d1e6-0908-45a0-8345-ff375d0c4a49.pdf
2024-12-11T21:35:43.000Z,P1103-01 -- Dairygold Co-Operative Society Ltd and TINE Ireland Ltd,Sludge Winter holding facility 2024.pdf,https://leap.epa.ie/docs/f1ae4532-29d5-4d64-9fd1-760f58bf5dcb.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1103-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/f1ae4532-29d5-4d64-9fd1-760f58bf5dcb.pdf
2024-12-11T21:31:50.000Z,P0605-04 -- Electricity Supply Board,Snapshot-INCI028835.pdf,https://leap.epa.ie/docs/797717b0-8923-41a7-a62b-64f3c0eebd52.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0605-04.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=E*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/797717b0-8923-41a7-a62b-64f3c0eebd52.pdf
2024-12-11T21:31:49.000Z,P0605-04 -- Electricity Supply Board,Lube oil spill on 11 Nov 2024.pdf,https://leap.epa.ie/docs/ed19d084-4f6c-41dd-b4ee-1ddd66d6ebf5.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0605-04.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=E*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/ed19d084-4f6c-41dd-b4ee-1ddd66d6ebf5.pdf
2024-12-11T21:34:06.000Z,P1151-01 -- Electricity Supply Board,GCU0257045_07 Ringsend.pdf,https://leap.epa.ie/docs/c5834818-51a2-4dfd-aab8-7d608a62eedf.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1151-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=E*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/c5834818-51a2-4dfd-aab8-7d608a62eedf.pdf
2024-12-11T21:31:15.000Z,P0009-05 -- Eli Lilly Kinsale Limited,SV28469 - Licensee Report.pdf,https://leap.epa.ie/docs/2be9ba4f-16ee-4563-9ed3-b80704a6c8d6.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0009-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=E*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/2be9ba4f-16ee-4563-9ed3-b80704a6c8d6.pdf
2024-12-11T21:34:23.000Z,P0525-04 -- Garrett Motion Ireland Limited,Surface  Water  test  points.pdf,https://leap.epa.ie/docs/9ef6dbcb-dfa5-4d56-b382-1e9ff8b90e56.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0525-04.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=G*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/9ef6dbcb-dfa5-4d56-b382-1e9ff8b90e56.pdf
2024-12-11T21:32:19.000Z,P1004-02 -- Glenmore Generation Limited,SOP Operations 17 e Cynergy level switch.pdf,https://leap.epa.ie/docs/26f76a81-d916-4cbf-83eb-fddfcb9c6015.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1004-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=G*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/26f76a81-d916-4cbf-83eb-fddfcb9c6015.pdf
