Item Date,Submitter,Item,Item URL,Submitter URL,Main Page URL
2023-03-23T11:50:32.000Z,P1172-01 -- Amazon Data Services Ireland Limited,Letter from Applicant - Attachment-7-1-3-2-Air Emissions Impact-RFI 1,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba1c.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1172-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse
2023-03-23T11:50:33.000Z,P1172-01 -- Amazon Data Services Ireland Limited,Letter from Applicant - Attachment-7-1-3-2-Air Emissions Impact-RFI 2,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba1d.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1172-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse
2023-03-23T11:50:33.000Z,P1172-01 -- Amazon Data Services Ireland Limited,Letter from Applicant - P1172-01 Further Information Response 1,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba1e.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1172-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse
2023-03-23T17:30:21.000Z,P1181-01 -- Amazon Data Services Ireland Limited,Letter from Applicant - P1181-01 Further Information Response,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086bb22.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1181-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse
2023-03-23T15:50:46.000Z,P1186-01 -- Amazon Data Services Ireland Limited,Reg 10 response from Applicant,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086baf4.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1186-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse
2023-03-23T11:30:32.000Z,P0975-02 -- ,Notification to Applicant - Proposed Determination,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba0a.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T11:30:33.000Z,P0975-02 -- ,Notification to Submitters - Proposed Determination,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba0b.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T11:30:33.000Z,P0975-02 -- ,PD Issued � Notification - Specified Bodies,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba0c.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T11:30:34.000Z,P0975-02 -- ,PD Issued � Notification - Submitters,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba0d.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T11:50:33.000Z,P0975-02 -- ,Notification to Planning Authority - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba1f.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T11:50:33.000Z,P0975-02 -- ,Notification to Planning Authority - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba20.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T11:50:33.000Z,P0975-02 -- ,Notification to Planning Authority - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba21.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T11:50:34.000Z,P0975-02 -- ,Proposed Determination - Director Decision,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba22.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T21:11:01.000Z,P0975-02 -- ,IR-LA001485,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086bb8b.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T21:11:01.000Z,P0975-02 -- ,RD-LA001485,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086bb8c.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T21:11:01.000Z,P0975-02 -- ,PD-LA001485,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086bb8d.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0975-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-03-23T11:30:34.000Z,W0232-02 -- Dublin Waste to Energy Limited,Notification to Applicant re Proposed Determination,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba0e.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0232-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse
2023-03-23T11:30:34.000Z,W0232-02 -- Dublin Waste to Energy Limited,PD Issued � Notification - Specified Bodies - W0232-02,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba0f.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0232-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse
2023-03-23T11:30:34.000Z,W0232-02 -- Dublin Waste to Energy Limited,PD Issued � Notification - Submitters - W0232-02,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba10.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0232-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse
2023-03-23T12:11:04.000Z,W0232-02 -- Dublin Waste to Energy Limited,Letter to Third Party - Circulation of Register to Local Authori,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba32.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0232-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse
2023-03-23T12:11:05.000Z,W0232-02 -- Dublin Waste to Energy Limited,Notification to Planning Authority re  Register - Letter LACT00013175,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba33.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0232-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse
2023-03-23T12:11:05.000Z,W0232-02 -- Dublin Waste to Energy Limited,Notification to Planning Authority re Register - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28086ba34.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0232-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse
