licence_profile_name,document_type,title,document_date,compliance_status,compliance_date,document_url,profilenumber,licenceprofileid
Ringsend - D0034,Incident,Abatement equipment off-line,2025-07-07T00:00:00+00:00,Closed,2025-06-09T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=e99c51b8-3745-f011-a373-0050568a2d1a,D0034,188b6e9c-77a4-4dd9-895c-17080f6af298
MSD International GmbH t/a MSD Ireland (Dunboyne Biologics) - P1073,Site Updates/Notifications,Installation of UPS for Stormwater Monitoring Station,2025-07-07T00:00:00+00:00,Closed,2025-04-14T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=013ed448-3819-f011-a373-0050568a2d1a,P1073,541d080f-45b6-448e-8327-82e0cb13dc2e
Dunleer - D0111,Annual Environmental Report,AER 2024,2025-07-07T00:00:00+00:00,Closed,2025-05-01T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=478d78b2-7b26-f011-a373-0050568a2d1a,D0111,30a57593-441a-41fd-81f8-94f607fd4f54
Merck Millipore Limited - P0571,Requests for Approval and Site Reports,IC4 Commissioning - Boilers & RTOs,2025-07-07T00:00:00+00:00,Closed,2025-05-21T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=8ef115b0-dc35-f011-a373-0050568a2d1a,P0571,b6c708e3-93c0-41c2-a1dc-5d12732e786c
Starrus Eco Holdings Limited (Ballymount) - W0039,Monitoring Returns,Dust annual report 2024,2025-07-07T00:00:00+00:00,Closed,2025-02-13T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=bcb2de8e-18ea-ef11-a372-0050568a2d1a,W0039,4b5745d7-80de-49d3-892a-819d3af85e7a
MSD International GmbH t/a MSD Ireland (Dunboyne Biologics) - P1073,Site Updates/Notifications,Electrical Installation of breaker in SE-1 kiosk,2025-07-07T00:00:00+00:00,Closed,2025-05-27T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=d6723220-013b-f011-a373-0050568a2d1a,P1073,541d080f-45b6-448e-8327-82e0cb13dc2e
Blackrock - D0188,Complaint,Concerns surrounding untreated discharges in Blackrock,2025-07-04T00:00:00+00:00,Closed,2025-06-09T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=2fbb2526-5a4b-f011-a373-0050568a2d1a,D0188,02c378a0-0b5b-42a5-826e-5dc6bb2e7826
Swords - D0024,Complaint,Possible sewage leak into Broadmeadow Estuary,2025-07-04T00:00:00+00:00,Closed,2025-06-07T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=6dc2dfff-2945-f011-a373-0050568a2d1a,D0024,b6f6a05d-2001-434b-bbf5-49e2a3c8e6c2
Blackrock - D0188,Complaint,"Increasing levels of algae, waste, and pollution affecting Dundalk Bay and Balckrock",2025-07-04T00:00:00+00:00,Closed,2025-06-05T00:00:00,https://data.epa.ie/leap/api/v1/Complaint/byid?complaint_id=802909e3-604b-f011-a373-0050568a2d1a,D0188,02c378a0-0b5b-42a5-826e-5dc6bb2e7826
Kepak Clonee t/a Kepak Ballybay - P0803,Incident,COD recorded from SW2 as 56mg on the 27 of May. Results received on the 5th of June,2025-07-04T00:00:00+00:00,Closed,2025-06-05T00:00:00,https://data.epa.ie/leap/api/v1/Incident/byid?incident_id=a71fd442-f741-f011-a373-0050568a2d1a,P0803,e7300aeb-e8ca-4da8-adc3-11decfcc50fc
Aughinish - S0026,Site Updates/Notifications,Notice of intent to dredge,2025-07-04T00:00:00+00:00,Open,2025-07-04T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=5ce6e47c-c658-f011-a373-0050568a2d1a,S0026,ede61a83-98a6-e611-8d41-0050568a69e2
Corranure Landfill - W0077,Site Updates/Notifications,Licensee Public Response - SV31809,2025-07-04T00:00:00+00:00,Open,2025-07-04T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=673400ed-d858-f011-a373-0050568a2d1a,W0077,f65c34d6-7c95-4321-afb4-5d17f6ce575f
Mill Road Estates Limited - W0156,Site Closure and Surrender,ICA Report including Hydro Risk Assessment,2025-07-04T00:00:00+00:00,Closed,2025-03-27T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=cfbd222a-230b-f011-a373-0050568a2d1a,W0156,26a65f3e-523e-462b-8eb2-205e4fae525d
Aughinish - S0026,Site Updates/Notifications,Notice of intent to dredge,2025-07-04T00:00:00+00:00,Closed,2025-07-04T00:00:00,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=e33af832-bc58-f011-a373-0050568a2d1a,S0026,ede61a83-98a6-e611-8d41-0050568a69e2
