licence_profile_name,document_type,title,leap_url,document_date,compliance_status,compliance_date,profilenumber,licenceprofileid,document_url
Tirlán Limited - P0799,Monitoring Returns,ODS and F-Gas Maintenance and Leak Check Records,https://leap.epa.ie/licence-profile/P0799/compliance/return/03566634-bf16-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-11T00:00:00,P0799,0a5e1eb7-ebba-47fb-90b9-8038cc0439c7,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=03566634-bf16-f011-a373-0050568a2d1a
Hovione Limited - P0010,Monitoring Returns,ODS and F-Gas Maintenance and Leak Check Records,https://leap.epa.ie/licence-profile/P0010/compliance/return/1198edc4-1316-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-10T00:00:00,P0010,5539a361-3727-4cd9-b4e4-344ac6ae6bcb,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1198edc4-1316-f011-a373-0050568a2d1a
"Veolia Environmental Services Technical Solutions Ltd, Corrin, Fermoy, Cork - W0050",Requests for Approval and Site Reports,ODS and F-Gas Maintenance and Leak Check Records,https://leap.epa.ie/licence-profile/W0050/compliance/return/13c971a1-034d-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-06-19T00:00:00,W0050,404d61f0-befa-4b76-829a-30c602b003cb,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=13c971a1-034d-f011-a373-0050568a2d1a
SSE Generation Ireland Limited (Killala) - P0566,Requests for Approval and Site Reports,ODS and F-Gas Maintenance and Leak Check Records,https://leap.epa.ie/licence-profile/P0566/compliance/return/1c785a37-1816-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-10T00:00:00,P0566,a2f9b444-163b-4fd0-af29-06db117f8e52,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1c785a37-1816-f011-a373-0050568a2d1a
Nypro Limited - P0567,Requests for Approval and Site Reports,ODS and F-Gas Inventory - Jabil Bray,https://leap.epa.ie/licence-profile/P0567/compliance/return/1ed56e1a-cf16-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-11T00:00:00,P0567,5ec40d0c-381d-4ca1-9143-e65d0e685c91,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=1ed56e1a-cf16-f011-a373-0050568a2d1a
Masonite Ireland - P0021,Site Updates/Notifications,ODS and F-Gas Maintenance and Leak Check Records,https://leap.epa.ie/licence-profile/P0021/compliance/return/21f18e3e-1516-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-10T00:00:00,P0021,2e67f682-f839-42e2-a4d5-7b87c6b1b6fa,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=21f18e3e-1516-f011-a373-0050568a2d1a
Architectural & Metal Systems Limited - P1117,Monitoring Returns,Decommissioned equipment containing ODS or F-gases,https://leap.epa.ie/licence-profile/P1117/compliance/return/2f26a764-2516-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-10T00:00:00,P1117,ddacbc7b-4a2e-4068-95a1-630e12736479,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=2f26a764-2516-f011-a373-0050568a2d1a
"MSD International GmbH, trading as MSD Ireland (Brinny) - P0005",Site Updates/Notifications,F-Gas Survey Response,https://leap.epa.ie/licence-profile/P0005/compliance/return/408f4b29-2416-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-10T00:00:00,P0005,402b12ea-8c77-4050-bc57-908a1f088899,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=408f4b29-2416-f011-a373-0050568a2d1a
Dawn Meats Ireland t/a Meadow Meats - P0183,Site Updates/Notifications,ODS and F-Gas Maintenance and Leak Check Records,https://leap.epa.ie/licence-profile/P0183/compliance/return/46f4d3d3-ad16-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-11T00:00:00,P0183,12c0054f-1fa0-4cd7-a8eb-60c04e836aa2,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=46f4d3d3-ad16-f011-a373-0050568a2d1a
Anglo Beef Processors Ireland Unlimited Company t/a ABP Nenagh - P0184,Site Updates/Notifications,FGAS Inventory 2025,https://leap.epa.ie/licence-profile/P0184/compliance/return/47bace98-1616-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-10T00:00:00,P0184,d5ac40ab-6c8e-4e95-8415-77f1b88bf4ba,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=47bace98-1616-f011-a373-0050568a2d1a
Raffeen Landfill Site - W0023,Monitoring Returns,Q2 2025 Slope Stability Report,https://leap.epa.ie/licence-profile/W0023/compliance/return/4a24618c-0546-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-06-10T00:00:00,W0023,64dac35e-634e-46e9-83d8-5e9356e64442,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4a24618c-0546-f011-a373-0050568a2d1a
SSE Generation Ireland Limited (Tarbert) - P0607,Requests for Approval and Site Reports,ODS and F-Gas Maintenance and Leak Check Records,https://leap.epa.ie/licence-profile/P0607/compliance/return/4b8facaf-da17-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-12T00:00:00,P0607,e9a6535c-db1a-457f-894c-d91dc04b6ba8,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=4b8facaf-da17-f011-a373-0050568a2d1a
Architectural & Metal Systems Limited - P1117,Monitoring Returns,ODS and F-Gas Maintenance and Leak Check Records,https://leap.epa.ie/licence-profile/P1117/compliance/return/52738beb-1316-f011-a373-0050568a2d1a,2025-07-22T00:00:00+00:00,Closed,2025-04-10T00:00:00,P1117,ddacbc7b-4a2e-4068-95a1-630e12736479,https://data.epa.ie/leap/api/v1/LicenseeReturns/byid?lr_id=52738beb-1316-f011-a373-0050568a2d1a
