Item Date,Submitter,Item,Item URL,Submitter URL,Main Page URL
2022-10-20T22:50:10.000Z,P0040-03 -- Anglo Beef Processors Ireland Unlimited Company,Submission - Snapshot - Submission No S010644  - P0040-03 - Tom�s  Breathnach,https://epawebapp.epa.ie/licences/lic_eDMS/090151b280849687.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0040-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse
2022-10-20T22:50:11.000Z,P0040-03 -- Anglo Beef Processors Ireland Unlimited Company,S010644 Submission Notice,https://epawebapp.epa.ie/licences/lic_eDMS/090151b280849688.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0040-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse
2022-10-20T14:10:38.000Z,P0065-02 -- Kingspan Limited,Notification to Applicant Extension Request - LACT00011801,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808494b3.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0065-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=K*&Submit=Browse
2022-10-20T14:59:50.000Z,P0215-02 -- Mr John Kiernan,Recommended Determination,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28084905b.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0215-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=M*&Submit=Browse
2022-10-20T08:10:48.000Z,P1162-01 -- Mr. Brendan Duffy,Reminder Email (RFI Overdue)  - Reg 14(2) Notice 16,https://epawebapp.epa.ie/licences/lic_eDMS/090151b280849378.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1162-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=M*&Submit=Browse
2022-10-20T10:40:55.000Z,P1162-01 -- Mr. Brendan Duffy,Letter from Applicant - Agreeing to extend PD due date,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808493e1.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1162-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=M*&Submit=Browse
2022-10-20T16:40:46.000Z,P0020-03 -- Oled Material Manufacturing Limited,Notification to Applicant Extension Request - LACT00011803,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28084953a.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0020-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=O*&Submit=Browse
2022-10-20T08:10:49.000Z,W0287-02 -- Ormonde Organics Limited,Reminder Email (upcoming due date)  - Reg 14(2) Notice 8,https://epawebapp.epa.ie/licences/lic_eDMS/090151b280849379.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0287-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=O*&Submit=Browse
2022-10-20T09:30:54.000Z,W0287-02 -- Ormonde Organics Limited,Letter from Applicant - EPA Ormonde Deferral letter Oct 22,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808493b0.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0287-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=O*&Submit=Browse
2022-10-20T11:50:30.000Z,P0012-06 -- Roche Ireland Limited,Notification to Applicant Compliance Notice EIA - LACT00011795,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28084941f.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0012-06.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=R*&Submit=Browse
2022-10-20T12:58:50.000Z,P1069-01 -- William Connolly & Sons Unlimited Company,Notification to Submitters Proposed Determination,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28084905a.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1069-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=W*&Submit=Browse
2022-10-20T12:41:03.000Z,P1069-01 -- William Connolly & Sons Unlimited Company,Notification to Planning Authority - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28084945e.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1069-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=W*&Submit=Browse
2022-10-20T12:41:04.000Z,P1069-01 -- William Connolly & Sons Unlimited Company,Notification to Planning Authority - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28084945f.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1069-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=W*&Submit=Browse
2022-10-20T12:41:04.000Z,P1069-01 -- William Connolly & Sons Unlimited Company,Notification to Planning Authority - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b280849460.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1069-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=W*&Submit=Browse
