Item Date,Submitter,Item,Item URL,Submitter URL,Main Page URL,S3 URL
2023-12-27T21:31:45.000Z,W0165-02 -- Ballynagran Landfill Limited,Snapshot-INCI026650.pdf,https://leap.epa.ie/docs/4f9548a1-1518-4e31-8fa5-8c8d20d3e85c.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0165-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=B*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/4f9548a1-1518-4e31-8fa5-8c8d20d3e85c.pdf
2023-12-27T21:33:06.000Z,P0504-01 -- Bord na Mona Energy Limited,Edera EPA 2 year review V1 DRAFT.pdf,https://leap.epa.ie/docs/fb76adfb-0883-41f6-bc1d-d9443391e67b.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0504-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=B*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/fb76adfb-0883-41f6-bc1d-d9443391e67b.pdf
2023-12-27T21:33:08.000Z,P0504-01 -- Bord na Mona Energy Limited,PCAS Rehab Plan Review Questions - DRAFT.pdf,https://leap.epa.ie/docs/a450c5a5-d667-4b08-8b44-0f9ebcd08c02.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0504-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=B*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/a450c5a5-d667-4b08-8b44-0f9ebcd08c02.pdf
2023-12-27T21:32:03.000Z,W0201-03 -- Bord na Mona Public Limited Company,Drehid Biofilter Round 2 2023.pdf,https://leap.epa.ie/docs/081d9fdc-4b97-4a53-8e3c-acdc90ca7b9d.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0201-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=B*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/081d9fdc-4b97-4a53-8e3c-acdc90ca7b9d.pdf
2023-12-27T21:31:57.000Z,P0125-02 -- Clarochem Ireland Limited,SV28244 - Licensee Report.pdf,https://leap.epa.ie/docs/e9bff4cd-1d88-4cc1-af1a-0b63f1408f98.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0125-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/e9bff4cd-1d88-4cc1-af1a-0b63f1408f98.pdf
2023-12-27T21:32:04.000Z,P0400-03 -- Clogrennane Lime Limited,Snapshot-INCI026656.pdf,https://leap.epa.ie/docs/bcf04c03-6525-492c-984f-4152d70259f3.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0400-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/bcf04c03-6525-492c-984f-4152d70259f3.pdf
2023-12-27T21:32:03.000Z,P0400-03 -- Clogrennane Lime Limited,INC ENV0523.pdf,https://leap.epa.ie/docs/e97bd4bf-0d55-424f-9ab4-98b4376a7e4f.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0400-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/e97bd4bf-0d55-424f-9ab4-98b4376a7e4f.pdf
2023-12-27T21:32:53.000Z,P0173-02 -- Dawn Meats Ireland Unlimited Company,Document Number1.pdf,https://leap.epa.ie/docs/5301c23e-c419-41c0-9d3d-5330e85a95c7.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0173-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/5301c23e-c419-41c0-9d3d-5330e85a95c7.pdf
2023-12-27T21:32:54.000Z,P0173-02 -- Dawn Meats Ireland Unlimited Company,Microsoft Word - EPA Report 231123.pdf,https://leap.epa.ie/docs/5687489f-b59f-4f44-a20b-1ebad13ce6fd.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0173-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/5687489f-b59f-4f44-a20b-1ebad13ce6fd.pdf
2023-12-27T21:32:49.000Z,P0173-02 -- Dawn Meats Ireland Unlimited Company,Document Number 2.pdf,https://leap.epa.ie/docs/b8913722-4a7f-4f07-ab06-6289bbcfdd62.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0173-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/b8913722-4a7f-4f07-ab06-6289bbcfdd62.pdf
