Item Date,Submitter,Item,Item URL,Submitter URL,Main Page URL
2023-05-19T11:50:55.000Z,P1039-02 -- Corby Rock Mill Unlimited Company,Notification to Planning Authority - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b280876672.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1039-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-05-19T11:50:56.000Z,P1039-02 -- Corby Rock Mill Unlimited Company,Notification to Planning Authority - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b280876673.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1039-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-05-19T11:50:56.000Z,P1039-02 -- Corby Rock Mill Unlimited Company,Notification to Planning Authority - Register,https://epawebapp.epa.ie/licences/lic_eDMS/090151b280876674.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1039-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse
2023-05-19T08:50:16.000Z,W0146-04 -- Knockharley Landfill Limited,Final Determination � Newspaper Notice,https://epawebapp.epa.ie/licences/lic_eDMS/090151b28087660c.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0146-04.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=K*&Submit=Browse
