Item Date,Submitter,Item,Item URL,Submitter URL,Main Page URL,S3 URL
2024-03-16T21:31:24.000Z,P0039-02 -- Anglo Beef Processors Ireland Unlimited Company,SV26254 - Licensee Report.pdf,https://leap.epa.ie/docs/800964ae-cd80-449c-9b34-b8a47ff6e609.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0039-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/800964ae-cd80-449c-9b34-b8a47ff6e609.pdf
2024-03-16T21:32:01.000Z,P0666-01 -- Ballytherm Trading Limited,SV28772 - Licensee Report.pdf,https://leap.epa.ie/docs/1d5d9d4e-94a8-460d-8714-852ca8c68540.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0666-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=B*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/1d5d9d4e-94a8-460d-8714-852ca8c68540.pdf
2024-03-16T21:31:28.000Z,P0666-02 -- Ballytherm Trading Limited,Ballytherm Storm Water Monitoring 12.02.2024.pdf,https://leap.epa.ie/docs/a9e1f202-95a9-44ac-8062-dc1bfd0c7a3e.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0666-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=B*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/a9e1f202-95a9-44ac-8062-dc1bfd0c7a3e.pdf
2024-03-16T21:31:33.000Z,P0357-01 -- Bimeda Animal Health Limited,SV28703 - Licensee Report.pdf,https://leap.epa.ie/docs/2c49b595-c9bd-4dda-829e-e7b5c0dbf98d.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0357-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=B*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/2c49b595-c9bd-4dda-829e-e7b5c0dbf98d.pdf
2024-03-16T21:31:12.000Z,P0913-02 -- Dava Farms Limited,SW1 Monitoring results.xlsx,https://leap.epa.ie/docs/75c31a38-b589-41e6-a36c-dfb99d4a4e4f.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0913-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/75c31a38-b589-41e6-a36c-dfb99d4a4e4f.pdf
2024-03-16T21:32:16.000Z,P1121-01 -- Dublin Aerospace Limited,SV28890 - Licensee Report.pdf,https://leap.epa.ie/docs/4f9daec2-cf12-4f6d-a65d-83a1cf1a7278.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1121-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=D*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/4f9daec2-cf12-4f6d-a65d-83a1cf1a7278.pdf
2024-03-16T21:31:42.000Z,P1198-01 -- Electricity Supply Board,Snapshot-INCI027221.pdf,https://leap.epa.ie/docs/a455386f-eb43-42fe-ba30-b357517e0005.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1198-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=E*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/a455386f-eb43-42fe-ba30-b357517e0005.pdf
2024-03-16T21:31:37.000Z,P1198-01 -- Electricity Supply Board,GTG26 spill.png,https://leap.epa.ie/docs/cc19e28b-44c5-4f99-b31e-6ed760e38bf1.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1198-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=E*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/cc19e28b-44c5-4f99-b31e-6ed760e38bf1.pdf
2024-03-16T21:32:20.000Z,P0960-01 -- Green Pasture Meat Processors Limited,SV29714 - Licensee Report.pdf,https://leap.epa.ie/docs/60c1332f-b31c-4cb2-89b5-9822ac7d9dcf.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0960-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=G*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/60c1332f-b31c-4cb2-89b5-9822ac7d9dcf.pdf
2024-03-16T21:32:13.000Z,P0832-02 -- Grove Turkeys Limited,SV28822 - Licensee Report.pdf,https://leap.epa.ie/docs/f0401c41-dd20-408c-afd4-40eb4e81ae66.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0832-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=G*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/f0401c41-dd20-408c-afd4-40eb4e81ae66.pdf
2024-03-16T21:32:00.000Z,P0078-01 -- Henkel Ireland Operations and Research  Limited,P0078 Dry vacuum Anaerobic Plants vent point.pdf,https://leap.epa.ie/docs/54ef0657-f486-4058-8b1e-49990340c387.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0078-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=H*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/54ef0657-f486-4058-8b1e-49990340c387.pdf
2024-03-16T21:31:52.000Z,P0078-01 -- Henkel Ireland Operations and Research  Limited,Dry Vacuum FID Installation and Speciation.pdf,https://leap.epa.ie/docs/9362fdaf-53aa-4d48-9ef6-90e0c4293aaa.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0078-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=H*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/9362fdaf-53aa-4d48-9ef6-90e0c4293aaa.pdf
2024-03-16T21:32:27.000Z,P0386-04 -- Kerry Ingredients (Ireland) Limited,KWTP-406131223-2 (002).pdf,https://leap.epa.ie/docs/030986b4-d8c6-4c35-92b0-98ecfda85b62.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0386-04.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=K*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/030986b4-d8c6-4c35-92b0-98ecfda85b62.pdf
2024-03-16T21:32:25.000Z,P0386-04 -- Kerry Ingredients (Ireland) Limited,KWTP-333210623-1.pdf,https://leap.epa.ie/docs/08db883d-15d4-45f4-bc43-63da952d458f.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0386-04.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=K*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/08db883d-15d4-45f4-bc43-63da952d458f.pdf
