Item Date,Submitter,Item,Item URL,Submitter URL,Main Page URL,S3 URL
2024-03-19T21:31:14.000Z,P0207-05 -- Intel Ireland Limited,Response to Non Compliance (21-12-2023).pdf,https://leap.epa.ie/docs/39dcd1e1-5588-4b46-be3c-0e0c179f08ad.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0207-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=I*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/39dcd1e1-5588-4b46-be3c-0e0c179f08ad.pdf
2024-03-19T21:31:18.000Z,W0060-03 -- Louth County Council,Snapshot-INCI027233.pdf,https://leap.epa.ie/docs/147accf1-7217-4850-b31d-8221773fc351.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0060-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=L*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/147accf1-7217-4850-b31d-8221773fc351.pdf
2024-03-19T21:31:14.000Z,W0060-03 -- Louth County Council,Snapshot-INCI027232.pdf,https://leap.epa.ie/docs/ed94c51b-4f5f-41c0-b0de-c68e21c02580.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0060-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=L*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/ed94c51b-4f5f-41c0-b0de-c68e21c02580.pdf
2024-03-19T21:31:25.000Z,W0055-02 -- SRCL  Limited,Stericycle_to_EPA_NC_Response_02022024.pdf,https://leap.epa.ie/docs/e10f982e-3a97-4442-950d-9b7dec159c86.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/W0055-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=S*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/e10f982e-3a97-4442-950d-9b7dec159c86.pdf
2024-03-19T00:00:00.000Z,P0019-03 -- Amgen Technology (Ireland) Unlimited Company,Notification to Applicant Request for Further Information -LACT0,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6cf4.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0019-03.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=A*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6cf4.pdf
2024-03-19T00:00:00.000Z,P1193-01 -- Castlelost Flex Gen Limited,Notification to Applicant Compliance Notice EIA - LACT00015957,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d63.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1193-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d63.pdf
2024-03-19T00:00:00.000Z,P0037-05 -- College Proteins Unlimited Company,Letter from Applicant - 6-7-4 - Notification to Planning Authority (email),https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d7d.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0037-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d7d.pdf
2024-03-19T00:00:00.000Z,P0037-05 -- College Proteins Unlimited Company,Letter from Applicant - 6-7-4 - Notification to Planning Authority,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d7e.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0037-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d7e.pdf
2024-03-19T00:00:00.000Z,P0037-05 -- College Proteins Unlimited Company,Letter from Applicant - EIA screening report,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d7f.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0037-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d7f.pdf
2024-03-19T00:00:00.000Z,P0037-05 -- College Proteins Unlimited Company,Letter from Applicant - Final Grant Biogas Upgrader 30.1.24,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d80.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0037-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d80.pdf
2024-03-19T00:00:00.000Z,P0037-05 -- College Proteins Unlimited Company,Letter from Applicant - Response Letter to FI Request received 11.03.2024,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d81.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0037-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=C*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d81.pdf
2024-03-19T00:00:00.000Z,P1197-01 -- Greener Ideas Limited,Unsolicited Additional Information - 11356 - Athlone EPA Letter 190324,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6cc4.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1197-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=G*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6cc4.pdf
2024-03-19T00:00:00.000Z,P1197-01 -- Greener Ideas Limited,Notification to Applicant RFI Reminder  LACT00015057  19-03-2024,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6cdd.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1197-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=G*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6cdd.pdf
2024-03-19T00:00:00.000Z,P1143-01 -- K2 Strategic Infrastructure Ireland Limited,Notification to Applicant Request for Further Information -LACT0,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d06.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P1143-01.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=K*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d06.pdf
2024-03-19T00:00:00.000Z,P0515-02 -- Laragan Farms Limited,Specified Body Notification - FD Issued - Licence Granted 304,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d2a.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0515-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=L*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d2a.pdf
2024-03-19T00:00:00.000Z,P0515-02 -- Laragan Farms Limited,P0515-02 signed Final Determination 1,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d2b.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0515-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=L*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d2b.pdf
2024-03-19T00:00:00.000Z,P0515-02 -- Laragan Farms Limited,Notification to Applicant - Final DeterminationDecision - LACT00,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d2c.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0515-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=L*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d2c.pdf
2024-03-19T00:00:00.000Z,P0515-02 -- Laragan Farms Limited,Letter to Third Party - FD Issued - Licence Granted 233,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6d2d.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0515-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=L*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6d2d.pdf
2024-03-19T00:00:00.000Z,P0001-05 -- Smartply Europe Designated Activity Company,Newspaper Notice 92,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6cb0.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0001-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=S*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6cb0.pdf
2024-03-19T00:00:00.000Z,P0001-05 -- Smartply Europe Designated Activity Company,Web Notice - FD Issued  P0001-05  LACT00015939,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6cc5.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0001-05.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=S*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6cc5.pdf
2024-03-19T00:00:00.000Z,P0638-02 -- Zoetis Belgium S.A.,Notification to Applicant Request for Further Information - LACT,https://epawebapp.epa.ie/licences/lic_eDMS/090151b2808c6cdc.pdf,https://epawebapp.epa.ie/licences/lic_eDMS/rss/P0638-02.xml,https://epawebapp.epa.ie/terminalfour/ippc/ippc-search.jsp?name=Z*&Submit=Browse,https://epa-rss.s3.eu-west-1.amazonaws.com/uploads/090151b2808c6cdc.pdf
